Apartment,Gender,Address,Phone,Price,PrivateRoomPrice,Capacity,ParkingStalls,Deposit,UtilityDeposit,FloorPlans,Website,Latitude,Longitude,MilesToCampus,WalkingMinutes,Description
AMERICAN AVENUE - MEN,M,151 S 1ST E,2083565097,1202.5,1380,59,0,100,0,3,myamericanavenue.com,43.822203,-111.780098,0.248549095,6,"American Avenue, BYU Idaho Approved Men and Women's housing, is less than a 1/2 block from campus. We have ample parking, onsite FREE laundry, Fiber Optix high speed internet, 32"" flat screen SONY TV's, heated wood floors, and various layouts. We would love for you to come take a tour!

Bring a friend and get $100 per friend you bring that signs. Unlimited friend credits!"
AMERICAN AVENUE - WOMEN,F,151 S 1ST E,(208) 356-5097,1050,1075,165,0,100,0,6,myamericanavenue.com,43.8228628,-111.7807632,0.372823642,7,"American Avenue, BYU Idaho Approved Men and Women's housing, is less than a 1/2 block from campus. We have ample parking, FREE onsite laundry, Fiber Optix highspeed internet, 32"" flat screen SONY TV's, heated wood floors, and various layouts. We would love for you to come take a tour!

Bring a friend and get $100 per friend that you bring. Unlimited friend credits!"
ARBOR COVE,M,220 S 2ND W,(208) 356-8988,1018.333333,1045,97,60,75,0,6,,43.8214093,-111.7895566,0.186411821,4,"Arbor Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time in our field playing volleyball, soccer, or having a BBQ with your friends!"
ARCADIA APARTMENTS,M,138 VIKING DR,208-881-2935,995,995,41,30,100,0,6,www.arcadiarexburg.com,43.8177393,-111.7886609,0.372823642,8,"Arcadia Apartments is located just across from the BYU Idaho Center, literally steps from campus. Arcadia is priced at just $1045 for the semester. Arcadia offers clean, comfortable apartments and a very social atmosphere.  Awesome amenities include World Gym Membership, Sand Volleyball, Basketball Court, Apple Tv, and so much more.  Call/text us at 208-881-2935 for info or to schedule a tour! "
ARPAD,M,271 S 2ND W,208-881-5026,1150,1225,67,27,150,0,6,www.arpadhousing.com,43.820138,-111.788876,0.248549095,5,"Ideal Location. Across the street from Taco Time, and close to the Hart (state of the art gym facility) Building.  


"
ASPEN VILLAGE - MEN ,M,545 S 2ND E ,208-356-7701,1100,1200,144,80,75,0,20,www.aspenvillageapartments.com,43.8146367,-111.7780764,0.372823642,6,"Great management. Price. Location. Pool. Semester after semester, students tell us this is why they love and remain at Aspen Village! Located across from campus and the temple we offer great views, FREE parking, acres of open land and a brand new MOVIE THEATER in our huge lounge!"
ASPEN VILLAGE - WOMEN,F,545 S 2ND E,(208) 356-7701,900,1000,210,84,75,0,10,www.aspenvillageapartments.com,43.814649,-111.778083,0.372823642,6,"Great management. Price. Location. Pool. Semester after semester, students tell us this is why they love and remain at Aspen Village! Located across from campus and the temple we offer great views, FREE parking, NEW ping pong tables and a brand new MOVIE THEATER in our huge lounge!"
AT THE GROVE,F,349 HARVARD AVE,801-319-4334,NA,NA,6,5,0,0,1,https://www.facebook.com/atthegroveapts/,43.8185731,-111.7766137,0.186411821,3,"At The Grove is a spacious basement apartment, located just a stone's throw away from the east side of campus, and around the corner from the temple.
Here you will enjoy the feeling of ""home,"" with onsite *free* laundry, great managers, a great ward, and a large backyard. You'll feel right at home here at At The Grove!"
AUTUMN WINDS,F,160 W 5TH S,(208) 356-0821,1345,1345,96,96,75,0,1,www.rexburghousing.com,43.8156171,-111.7884885,0.434960916,9,"Autumn Winds offers Private rooms with only 4 people per apartment! There are two bathrooms in each apartment and 4 sinks, so you will only share a bathroom with one other person, and have your own vanity area. We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities. Space at Autumn Winds goes quickly, so reserve your spot today!"
AVONLEA APARTMENTS,F,175 W 3RD S,(208) 359-0920,1222,1369,60,54,150,0,3,www.bestnesthousing.com/avonlea.php,43.8197584,-111.788829,0.248549095,5,"Avonlea prides itself in being one of the most sought-after complexes in Rexburg. Avonlea Apartments features beautiful grounds, a convenient location, private and shared rooms, a free washer and dryer in each apartment, free parking, and a homey feel. Visit our website, www.bestnesthousing.com for a virtual tour or stop by during office hours. "
BAYSIDE MANOR,F,248 1/2 CORNELL AVE,7202574493,960,960,8,8,90,0,1,baysidemanor.blogspot.com,43.8203851,-111.7795297,0.124274547,3,"With its prime location close to the girls dorms and across the street from campus, you can get the off-campus experience and great location all at the same time. Bayside Manor is a basement apartment that houses 8 girls. It has 3 large bedrooms, 2 bathrooms, 2 refrigerators, study room, storage room, laundry room, fireplace, internet, cable t.v., yard, & lots of space! Call today 720-257-4493"
BIRCH PLAZA,F,236 S 1ST W,(208) 359-8200,980,980,343,160,75,0,1,www.rexburghousing.com,43.8209717,-111.7867163,0.062137274,1,"Some girls choose to spend all of their BYU-Idaho years living at Birch Plaza. That's how good it is. The wards are outstanding, and there's a sense of community that you'll find almost nowhere else. Birch Plaza has an onsite professional full-service salon, a hot tub, an exercise room, and a spacious lounge. It's also right across the street from the BYU Idaho stadium! You'll love it here."
BIRCH WOOD I,F,253 S 2ND W,(208) 359-8200,1019,1019,65,160,75,0,1,www.rexburghousing.com,43.8209717,-111.7867163,0.062137274,1,"Birchwood I is a very special place. The ward is outstanding, as are the residents. There's a hot tub, an onsite full-service professional salon, and ample parking. A city park is one block away, and BYUI campus is half a block in the other direction. We've got girls from across the country and around the globe, including many returned missionaries. You're going to love Birchwood I!"
BIRCH WOOD II,F,253 S 2ND W,(208) 359-8200,1275,1390,24,160,75,0,3,www.rexburghousing.com,43.820673,-111.7895151,0.248549095,5,"Extra large PRIVATE rooms, with some shared rooms as well. Washer and dryer inside your apartment! Across the street from campus. With the BEST student ward! Hurry and sign up, because these very limited spots always fill up early. You're going to LOVE Birchwood II!"
"BLUE DOOR, THE",M,123 PRINCETON CT,(208) 240-2261,925,925,48,25,100,0,1,bluedoorapts.com,43.823664,-111.779473,0.372823642,9,"Blue Door is in an amazing location for an amazing price--Only 1 block from the Kirkham, Smith, & Clark buildings.  With a free Washer/Dryer in every unit, cable, reliable Optix high speed internet, and yard space for fun, grilling and BBQing; this is the place to live while attending BYUI! "
BOUNTIFUL PLACE,M,345 W 5TH S,(208) 351-7080,1200,1250,148,84,75,0,3,www.bountifulplace.com,43.815652,-111.792396,0.497098189,12,"Bountiful Place is your next home away from home, less than a mile from campus with a Walmart shuttle pick up right down the street.  We provide Optix mega-Speed internet, AC, 50"" flat screen TV with Roku, free laundry, free World Gym membership, fresh cookies daily, and weekly Waffle Wednesday! We offer 4 & 6 man units with an XL water heater in every unit! Call/text us today at 208-351-7080!!
 "
BRIARWOOD APARTMENTS,M,163 E 2ND S,356-3001,998,998,24,50,125,0,1,www.bestnesthousing.com,43.82186,-111.779097,0.186411821,5,"Briarwood is a 4-plex apartment. Please view our website to sign a contract online! Some amenities are: coinless washers and dryers in every apartment, wireless internet, free parking, and cable access. 
The manager's office is located directly behind Briarwood within Greenbrier Apartments at 129 Princeton Court."
BRIGHAM'S MILL,M,431 S 3RD W,208-538-9058,1325,1325,180,0,100,0,1,www.brighamsmill.com,43.817458,-111.792466,0.621372737,12,"Brand new for fall 2017.  Brigham's Mill is BYU-Idaho's latest approved housing complex for men, located just two blocks from the heart of campus.  

"
BRIGHTON APARTMENTS-MEN,M,242 W 6TH S ,208-356-9693,1225,1275,108,102,150,0,10,www.brighton-apartments.net,43.8133921,-111.7945301,0.434960916,10,"You?ll easily find your home away from home at Brighton! Four different floor plans with private rooms and shared rooms available. Laundry in each apartment/townhouse, TV's, reliable internet. Quiet, fun and friendly atmosphere.
Discounts are available! Laundry, parking, A/C, and all utilities included! 
Our office is located in the clubhouse.
Find us on Facebook for more pictures and info.

"
BRIGHTON APARTMENTS-WOMEN,F,242 W 6TH S ,208-356-9693,1300,1325,60,60,150,0,3,www.brighton-apartments.net,43.8133921,-111.7945301,0.434960916,10,"Come see our girls townhouses! Built the summer of 2012 and 2016. Only 4 girls to a townhouse! 2 Large and roomy bedrooms upstairs. Washer and dryer in each townhouse. Club house with a pool table, ping pong, air hockey table, kitchen, fireplace and a large flat screen.

NO hidden fees! Discounts available, FREE parking, laundry, Optix internet and utilities!

You will love it at Brighton!"
BROOKLYN APARTMENTS,F,345 S 2ND W,208-356-9500,870,895,144,0,75,0,3,WWW.BROOKLYNAPTS.NET,43.8188718,-111.7895166,0.372823642,7,"Brooklyn Apartments is a wonderful place to live, study, meet new friends and grow. Living here makes socializing, getting to class and shopping easier as we are located in the heart of Rexburg and only one block from campus. Our new furniture and carpet offers quality and comfortable living at a great low price. Come by and check us out!"
BROOKSIDE VILLAGE - MEN,M,487 S 3RD W,(208) 356-0788,1310,1310,60,96,75,0,1,www.rexburghousing.com,43.8161353,-111.7924099,0.559235463,12,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one! "
BROOKSIDE VILLAGE - WOMEN,F,487 S 3RD W,(208) 356-0788,1310,1310,86,96,75,0,3,www.rexburghousing.com,43.8161353,-111.7924099,0.559235463,12,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one! "
BUENA VISTA,F,406 S 3RD E,208-359-9681,925,925,21,7,75,0,6,buenavistarexburg.blogspot.com,43.8175075,-111.7752093,0.310686368,6,"Buena Vista is a friendly house located near campus and the temple. We are approved housing for BYU-Idaho. There is a piano in every apartment, and a laundry room within the house. Sign a year contract (fall, winter, and spring) and get the summer free. We hope to see you at Buena Vista!"
BUNKHOUSE,M,156 W 4th S,208-356-7419,961.666666,995,324,100,75,0,6,www.bunkhouseapts.com,43.8187344,-111.7867224,0.248549095,4,"Bunkhouse Apartments provide a down-to-earth living environment that you'll love! Located across the street from the BYU-Idaho Center, surrounded by women's housing and next to some of Rexburg's best restaurants, you'll enjoy your choice of 3 floorplans, excellent wards and FREE LAUNDRY!!!! A Make sure to visit our website for details and sign a contract: www.bunkhouseapts.com"
CAMDEN APARTMENTS-MEN,M,225 W 5TH S,208-656-9611,1250,1250,24,65,75,0,2,www.camdenapts.net,43.8156024,-111.7917058,0.497098189,11,"Camden Apartments has spacious PRIVATE BEDROOMS in a great location, only one block away from campus. We offer wireless internet, cable, and great payment plans. We also offer a free complimentary membership for World Gym. The free Walmart Shuttle stops right in front of our complex. To sign up for a contract, call or apply online today! 208-656-9611 www.camdenapts.net"
CAMDEN APARTMENTS-WOMEN,F,225 W 5TH S,208-656-9611,1216.666666,1250,53,65,75,0,6,www.camdenapts.net,43.8156024,-111.7917058,0.497098189,11,"Camden Apartments has spacious PRIVATE BEDROOMS in a great location, only one block away from campus. We offer wireless internet, cable, and great payment plans. We also offer a free membership with World Gym. The free Walmart Shuttle stops right in front of our complex. To sign up for a contract, call or apply online today! 208-656-9611 www.camdenapts.net"
CAMPUS VIEW APARTMENTS,M,136 W 3RD S,359-0920,988,988,32,19,125,0,1,www.bestnesthousing.com/campus-view.php,43.820143,-111.78777,0.186411821,4,"You can't beat the Campus View location! We offer 4-man apartments, each equipped with a washer, dryer, and dishwasher. $50 RM discount, $50 loyalty discount, $25 referral discount, $25 double contract discount, $25 group discount(3+), $50 group discount (4+). For a virtual tour and to sign a contract, go to our website www.bestnesthousing.com."
CARRIAGE HOUSE,F,246 S 1ST W,208-356-4361,1075,1075,234,85,125,0,1,www.bestnesthousing.com/carriage-house.php,43.8207848,-111.7867195,0.062137274,2,Free washer/dryer in every apt! $50 RM and military discounts. $50 discount for returning tenants. No limit on our discounts! 100% refundable security deposit. Utilities included. No application fees. Across the street from BYUI. Captain beds in all bedrooms. High speed internet. Fast and reliable maintenance.  
"CEDARS, THE-MEN",M,120 W 2ND S,208-356-0222,1345,1345,360,300,100,0,1,Cedarshousing.com,43.8218672,-111.7872458,0.35418246,1,"The Cedars is conveniently located kiddie-corner to campus. We offer both above and under-ground parking and discounts to nearby food and clothing shops. Our apartments are spacious, modern, and homey with plenty of storage space. Laundry is discounted with laundry facilities on each floor. Come experience a home away from home.
"
"CEDARS, THE-WOMEN",F,226 S 1st W,208-346-7006,1495,1495,444,230,100,0,1,Cedarshousing.com,43.8211586,-111.7867132,0.553021736,1,"Welcome to one of the newest housing complexes in Rexburg! We are accepting tenants for Winter 2018. We are a complex with 75 apartments that have three bedroom shared units. In each unit there are 3 bathrooms, two fridges, and in apartment laundry. 
 Activities will always include young men from our neighboring Mens Cedars complex across the street! Come check out a new and fun complex!
"
CENTRE SQUARE-MEN,M,650 S 1ST W,208-496-9220,1349,1399,304,100,75,0,6,www.byui.edu/housing/centre-square,43.812247,-111.787101,0.497098189,10,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy."
CENTRE SQUARE-WOMEN,F,650 S 1ST W,208-496-9220,1349,1399,546,200,75,0,12,www.byui.edu/housing/centre-square,43.811831,-111.787004,0.366609915,1,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy."
CHAPMAN HOUSE,M,179 E 2ND S,3563001,1198,1276,7,50,125,0,3,www.bestnesthousing.com/chapman-house.php,43.822054,-111.778304,0.186411821,4,"Chapman House is a large, remodeled home located close to campus. The manager's office is located within the Greenbrier complex. Some are our  amenities include coinless washers and dryers in the home, dishwasher, garbage disposal, a large floor plan, cable, and a wireless internet router in each apartment.

WE ALSO OFFER A $50 DISCOUNT FOR RETURNED MISSONARIES/MILITARY!"
CLARKE APARTMENTS,M,156 S CENTER ST,(208) 356-6660,995,995,42,42,100,0,6,clarkeapartments.com,43.8225813,-111.7838412,0.186411821,4,"AFFORDABLE, ABUNDANT LIVING AT CLARKE APARTMENTS! 
Less than 100 yards from campus; 51"" plasma TV; fast, dependable, internet service; washer & dryer in every unit; new comfortable mattresses; leather furniture; fire-pit, yard, basketball hoop, outdoor projector; ample parking.
Visit us at clarkeapartments.com

Sign for winter and spring get $100 off spring semester!
"
COLLEGE AVENUE APARTMENTS,F,150 COLLEGE AVE,208-313-8182,995,995,9,10,100,0,1,,43.8226754,-111.7824172,0.248549095,5,"Cute House with Porch, Picnic Table and Barbecue Grill. Half block from the Spori Building! Plenty of parking . Two Full kitchens and Two Full Bathrooms. Vanity Areas with Sinks. Washer and Dryer in Apartment.  Close to town and BYUI!  Large porch that opens up to BYUI Play Yards. New carpet   Off-Track-Storage! Fun House !!!"
COLONIAL HEIGHTS TOWNHOUSE,M,251 E 4TH S,356-6752,850,850,64,54,100,50,1,WWW.COLONIALHEIGHTSTOWNHOUSES.COM,43.8176752,-111.7764603,0.248549095,4,"Spacious 3 level townhouse, includes 2 refrigerators, 4 bedrooms, 2 1/2 bathrooms,private washer/dryer in each apartment and wireless Internet. The $50 utility fee is for Internet, electricity and a private washer/dryer in each apartment."
COLONIAL HOUSE,F,151 W 4TH S,208-359-2848,1245,1245,342,241,85,0,1,www.colonial-house.com,43.8176902,-111.788803,0.372823642,8,"""The Mom Away From Home"" Complex.

FREE Laundry (Washer & Dryer in each apartment) FREE WIFI Internet, FREE Utilities, FREE Storage ""Just Like Home"".

The Colonial House is a wonderful place to live and meet new friends with a friendly, homey atmosphere with great wards and a sense of community. Visit our web site to take our online tour and secure your housing needs www.colonial-house.com"
CONDIE COTTAGE,F,267 W 3RD S,(208) 557-1520,1120,1120,6,5,100,0,1,condiecottage.weebly.com,43.819536,-111.791806,0.434960916,8,"Spacious House. Plenty of room to spread out. Lots of storage space, loft in the garage and yard. Laundry room, includes free laundry, high speed internet, cable TV. Close to campus. "
COTTONWOOD-MEN,M,42 S 1ST W,208-356-9576,955,960,60,100,75,0,3,www.cottonwoodstudentapartments.com,43.8250778,-111.7867042,0.248549095,5,"Men and Women's Housing. super social, NEWLY RENOVATED and Free Laundry!
Perfect for working students, great mix of all college ages.
Beautiful courtyard, fruit trees, basketball court and fire pit. We also have a covered bike area. Lounge and Game room for you to enjoy!
Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
"
COTTONWOOD-WOMEN,F,42 S 1ST W,(208) 356-9576,950,950,84,100,75,0,1,www.cottonwoodstudentapartments.com,43.8250778,-111.7867042,0.248549095,5,"Men and Women's Housing. super social, NEWLY RENOVATED and Free Laundry!
Perfect for working students, great mix of all college ages.
Beautiful courtyard, fruit trees, basketball court and fire pit. We also have a covered bike area. Lounge and Game room for you to enjoy!
Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
"
CREEKSIDE COTTAGES - WOMEN,F,276 STEINER AVE,(503) 515-8377,1261.666666,1395,24,28,100,0,6,creeksidewomenbyui.blogspot.com,43.8197851,-111.7943981,0.559235463,11,"Three beautiful, private, remodeled, clean, BYU-I Women's houses. Located 2 1/2 blocks west of the Hart building. Each house includes: FREE washer/dryers, WiFi, cable TV, free NetFlix, Blu-Ray DVD players, 52"" LED TVs, microwaves, dishwashers, all are fully furnished. Rent includes utilities, storage and FREE parking. RM & MULTI-CONTRACT DISCOUNTS!. YEAR ROUND LIVING! COME CHECK US OUT!
"
CREEKSIDE COTTAGES-MEN,M,336 W 3RD S,503-515-8377,1245,1295,11,10,100,0,3,creeksidemensbyui.blogspot.com,43.8197851,-111.7943981,0.559235463,11,"MENS - Newly remodeled large house with lots of space. Features a 3 bedroom apartment on main level as well as a 3 bedroom basement apartment. Both are fully furnished. Both feature 55' big screen TV's, free Netflix, free laundry, free parking and garage for storage. Located 2 1/2 blocks from campus.Great Ward! Great location. RM & MULTI-CONTRACT DISCOUNTS! YEAR ROUND LIVING! Come check us out!"
CRESTWOOD APARTMENTS,M,235 S 1ST E ,208-356-5149,940,940,50,10,75,0,3,www.crestwoodapt.com,43.8209405,-111.7809226,0.248549095,5,"Crestwood is an affordable, great place to live! We offer FREE onsite laundry facilities and 1 GIG fiber optic high speed internet! Our tenants are awesome and our location can't be beat!"
CRESTWOOD COTTAGE,F,221 S 1ST E,208-356-5149,940,940,10,10,75,0,3,www.crestwoodapt.com,43.8213116,-111.7809272,0.248549095,6,"Crestwood is an affordable, great place to live! We offer free onsite laundry facilities and fiber optic high speed internet! Our tenants are awesome and our location can't be beat!"
CRESTWOOD HOUSE,M,235 S 1ST E,208-356-5149,925,925,11,10,75,0,3,www.crestwoodapt.com,43.8209405,-111.7809226,0.248549095,5,"Crestwood is an affordable, great place to live! We offer onsite laundry facilities and fiber optic high speed internet! Our tenants are awesome and our location can't be beat!"
DANBURY MANOR,M,156 E 2ND S,208-356-8921,NA,NA,19,0,0,0,10,www.danburymanor.com,43.8218191,-111.7791712,0.186411821,5,Danbury Manor is a small but adorable complex very close to campus! The apartments are roomy and charming. Each apartment has a washer/dryer for six or less girls. Private rooms are available as well. Danbury Manor really feels like home because it is a converted house and has a beautiful lawn to enjoy!
DAVENPORT APARTMENTS,F,145 W 3RD S,208-356-3216,895,895,71,30,0,0,3,davenportapartments.net,43.819765,-111.7879773,0.186411821,4,"Davenport has an ideal price and an ideal location. 1/2 block from campus. FREE LAUNDRY. Recently upgraded DEPENDABLE and FAST Fiber Optic Internet.  We are well-known for our large living spaces, home-like atmosphere, fun and social wards and our WONDERFUL tenants!A great place for R.M.s!

Discounts for Fall 2017 semester:
RM discount of $20.00
$20 discount for rent paid IN FULL before 8-8-17"
DELTA PHI APARTMENTS,M,139 VIKING DR,208-359-8015,995,1045,60,44,75,0,3,www.deltaphiapts.com,43.8177035,-111.7886615,0.372823642,8,"Located 1/2 block from the BYU-I center. 
Free cable and high speed internet.

""It's literally right across the street from campus, and they have the comfiest couches.""- Kevin R.
""The hidden gem of Rexburg. The quality of the apartments is incredible for what you pay. The management is great!"" - Ryan M.

Come in for a tour today!"
"GATES, THE - MEN",M,370 W 7TH S,208-356-6686,1375,1425,288,0,100,0,3,www.thegatesatrexburg.com,43.8116909,-111.794504,0.310686368,8,"Southgate is a top-of-the-line affordable complex. Recently built it features some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom. There are 2 fridges and free washers and dryers in your apartment! We offer FREE parking! Reserve our 12 couch theater room or work out in our weight room. You?ll save hundreds on laundry, utilities and parking.Call today!"
"GATES, THE - WOMEN",F,350 W 7TH S,208-356-6686,1375,1425,324,0,100,0,3,www.thegatesatrexburg.com,43.81355,-111.791355,0.310686368,7,"The Gates is a top-of-the-line affordable complex.  Recently built, it features some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom.  We have 2 fridges, TV, and a washer & dryer in each apartment!  Reserve our 12 couch theater room and work out in our new weight room.  You?ll save hundreds on laundry, utilities and parking. Call us today!!"
GEORGETOWN APARTMENTS,M,236 W 3RD S,359-3191,995,995,72,51,75,0,1,www.rexburghousing.com,43.819781,-111.7907129,0.372823642,7,"Only a couple of blocks from campus, Georgetown's great location provides an easy and convenient walk to school, especially during winter.  Enjoy the grill, volleyball pit and huge tree-lined sports field.  Georgetown is a great place to live if you love being outdoors and having fun!  You also get to enjoy the many perks of Rexburg Housing.  You'll not be disappointed with Georgetown!"
GREENBRIER NORTH,M,129 PRINCETON CT,356-3001,981,981,48,40,125,0,1,www.bestnesthousing.com,43.823056,-111.779371,0.434960916,9,"Great location! We have a wonderful management team that works together with a maintenance crew, cleaning specialist, and on-site management. We really care about what is important to the students at BYU-Idaho. 
Some of our offered amenities are coinless washers and dryers in every apartment, cable, and internet. To purchase a semester contract please visit our website www.bestnesthousing.com"
GREENBRIER SOUTH,F,129 PRINCETON CT,356-3001,981,981,92,70,125,0,1,www.bestnesthousing.com,43.823056,-111.779371,0.434960916,9,"Great location! We have a wonderful management team that works together with a maintenance crew, cleaning specialist, and on-site management. We really care about what is important to the students at BYU-Idaho. 
Some of our offered amenities are coin-less washers and dryers in every apartment, cable, and internet (Qwest/Century Link). Please visit our website www.bestnesthousing.com."
HARRIS HALL,M,364 S 1ST W ,208-359-5141,1020,1045,44,28,75,0,3,harrishallapartments.com,43.8185058,-111.7867268,0.248549095,5,"If you are looking for affordable men's housing right across the street from campus, you have come to the right place. You won't find another apartment that offers high-speed internet, cable, and utilities paid with only 4 men per apartment at this price. We boast comfortable living at a price comfortable to your pocketbook. Come check us out. Harris Hall is a great place to live! "
HEMMING HOUSE I,F,133 W 1ST S,208-356-6142,1120,1150,9,6,100,0,3,www.hemminghousing.com,43.823583,-111.787926,0.186411821,4,Very nice house with a main floor and basement. Landscaped back yard.
HEMMING HOUSE III,M,124 W 1ST S,356-6142,975,1000,7,7,100,0,3,www.hemminghousing.com,43.8239553,-111.7875196,0.186411821,4,
